date,dairy_id,milk_yield,protein_pct,fat_pct
2025-01-01,A,102931,3.44,3.96
2025-01-01,B,405382,3.45,4.07
2025-01-02,A,102774,3.43,3.89
2025-01-02,B,305322,3.48,4.09
2025-01-03,A,102784,3.45,3.92
2025-01-03,B,304062,3.5,4.08
2025-01-04,A,102705,3.46,3.94
2025-01-04,B,305188,3.52,4.14
2025-01-05,A,205709,3.46,3.94
2025-01-05,B,304050,3.5,4.05
2025-01-06,A,102865,3.48,3.89
2025-01-06,B,202717,3.5,4.02
2025-01-07,A,102840,3.47,3.91
2025-01-07,B,406094,3.52,4.12
2025-01-08,A,102784,3.48,3.97
2025-01-08,B,304611,3.49,4.01
2025-01-09,A,102962,3.49,4.1
2025-01-09,B,304119,3.5,4.07
2025-01-10,A,102812,3.47,4.05
2025-01-10,B,304228,3.49,4.13
2025-01-11,A,102687,3.47,3.97
2025-01-11,B,306221,3.48,4.12
2025-01-12,A,102719,3.45,3.93
2025-01-12,B,304900,3.49,4.05
2025-01-13,A,206252,3.49,3.97
2025-01-13,B,305616,3.5,4.04
2025-01-14,A,102996,3.46,4.03
2025-01-14,B,303597,3.54,4.09
2025-01-15,A,102981,3.44,4.04
2025-01-15,B,303687,3.53,4.08
2025-01-16,A,102810,3.45,4.01
2025-01-16,B,304435,3.5,4.04
2025-01-17,A,102885,3.42,3.94
2025-01-17,B,304078,3.51,4.05
2025-01-18,A,102826,3.44,3.93
2025-01-18,B,405016,3.5,4.05
2025-01-19,A,102929,3.45,3.98
2025-01-19,B,304681,3.49,4.03
2025-01-20,A,102916,3.45,3.94
2025-01-20,B,204131,3.53,4.09
2025-01-21,A,102957,3.47,3.97
2025-01-21,B,406420,3.51,4.11
2025-01-22,A,205654,3.45,3.96
2025-01-22,B,304644,3.59,4.08
2025-01-23,A,102948,3.48,3.91
2025-01-23,B,305275,3.55,4.02
2025-01-24,A,102962,3.49,3.92
2025-01-24,B,317306,3.53,3.97
2025-01-25,A,102771,3.49,3.93
2025-01-25,B,409324,3.54,4.07
2025-01-26,A,102913,3.49,3.91
2025-01-26,B,303937,3.51,4.02
2025-01-27,A,102826,3.5,3.98
2025-01-27,B,205210,3.46,4.03
2025-01-28,A,102792,3.49,3.94
2025-01-28,B,407278,3.5,4.03
2025-01-29,A,103213,3.47,3.92
2025-01-29,B,305421,3.47,4.04
2025-01-30,A,103015,3.46,3.96
2025-01-30,B,404741,3.52,4.01
2025-01-31,A,206169,3.46,3.95
2025-01-31,B,303947,3.47,3.95
2025-02-01,A,102865,3.46,3.97
2025-02-01,B,306579,3.46,3.98
2025-02-02,A,102897,3.46,3.96
2025-02-02,B,305251,3.53,4.05
2025-02-03,A,102929,3.49,3.98
2025-02-03,B,305279,3.49,4.1
2025-02-04,A,103056,3.49,3.91
2025-02-04,B,405210,3.52,4.09
2025-02-05,A,102884,3.48,3.88
2025-02-05,B,304993,3.48,4.06
2025-02-06,A,102931,3.5,3.96
2025-02-06,B,305229,3.54,4.08
2025-02-07,A,205759,3.47,3.96
2025-02-07,B,303615,3.49,4.07
2025-02-08,A,103006,3.49,4.01
2025-02-08,B,304271,3.52,4.07
2025-02-09,A,102772,3.5,4.0
2025-02-09,B,406734,3.48,4.12
2025-02-10,A,102992,3.48,3.98
2025-02-10,B,304359,3.49,4.22
2025-02-11,A,102947,3.53,3.95
2025-02-11,B,405778,3.46,4.15
2025-02-12,A,102772,3.5,4.03
2025-02-12,B,304735,3.43,4.06
2025-02-13,A,103234,3.51,4.04
2025-02-13,B,304701,3.41,3.98
2025-02-14,A,205530,3.48,4.0
2025-02-14,B,406400,3.46,4.13
2025-02-15,A,102829,3.48,4.04
2025-02-15,B,304496,3.4,4.08
2025-02-16,A,102929,3.48,3.99
2025-02-16,B,305448,3.42,4.08
2025-02-17,A,102883,3.49,4.0
2025-02-17,B,405209,3.43,4.19
2025-02-18,A,102926,3.49,3.96
2025-02-18,B,303945,3.42,4.21
2025-02-19,A,102792,3.53,4.02
2025-02-19,B,304145,3.4,4.11
2025-02-20,A,205881,3.53,4.05
2025-02-20,B,304016,3.45,4.11
2025-02-21,A,102911,3.53,4.08
2025-02-21,B,405909,3.4,4.1
2025-02-22,A,102828,3.53,4.02
2025-02-22,B,305397,3.37,4.05
2025-02-23,A,102826,3.51,4.06
2025-02-23,B,304834,3.37,4.05
2025-02-24,A,102893,3.52,4.09
2025-02-24,B,406736,3.38,4.07
2025-02-25,A,102822,3.5,4.04
2025-02-25,B,303799,3.35,3.99
2025-02-26,A,102931,3.46,4.0
2025-02-26,B,306274,3.38,4.05
2025-02-27,A,205742,3.47,4.08
2025-02-27,B,406115,3.37,4.09
2025-02-28,A,102700,3.47,4.07
